replication,seed,theta_hat,mu_hat,sigma_hat,nll
0.0,1000.0,2.4029448810544487,0.8305662700804939,0.3377971227415742,-2266.4362548257377
1.0,1001.0,3.555323752528177,0.6668910722185499,0.3527261767177559,-2227.514351539123
2.0,1002.0,0.8520723067021226,1.0969700536186309,0.3421414946894407,-2254.935252526447
3.0,1003.0,1.486166912283258,0.7477294964245111,0.3408704073869514,-2258.285045507667
4.0,1004.0,1.4228747113010545,1.1059080068493492,0.35096658477251136,-2232.015277055086
5.0,1005.0,0.7843135672538452,1.4018608698491388,0.35656043782246044,-2217.783811667197
6.0,1006.0,1.1245392668521355,1.0207157184348257,0.345520464609163,-2246.0904869291844
7.0,1007.0,2.1415500456973775,0.8881502623738466,0.3505786045753952,-2233.010740333248
8.0,1008.0,0.8102979686633572,1.0305611622388113,0.3460638713995975,-2244.6761522737092
9.0,1009.0,1.3575395634570502,1.0010191641154393,0.34020980907415393,-2260.030922671096
10.0,1010.0,1.343361016714919,1.112465384550233,0.3460977854417781,-2244.587943213678
11.0,1011.0,1.2338540969887606,1.0228427373736473,0.36960540612285947,-2185.444806853215
12.0,1012.0,1.334115253401546,0.983937765147159,0.3294209844533435,-2289.034325938376
13.0,1013.0,1.8499167794891667,0.9614470817734071,0.3519048478185667,-2229.6124303819247
14.0,1014.0,1.2559447677834987,0.8979652379597028,0.3458623095444753,-2245.2005132070913
15.0,1015.0,1.1791414351096983,1.2860848647047287,0.343757582002996,-2250.694161720688
16.0,1016.0,1.7420530172312623,0.8979725160565175,0.35774107990551557,-2214.8086488019476
17.0,1017.0,1.9702088072332693,0.9777127957564359,0.3514008170094406,-2230.9024459276593
18.0,1018.0,1.2152257259134853,1.0607146129922262,0.35104371894895464,-2231.8174956659577
19.0,1019.0,1.8149604629822715,1.0286703900502772,0.3616667749584776,-2204.9862293925735
